Wall time,Step,Value
1655051488.758193,3520,0.25
1655051488.956844,3536,0.0
1655051489.173445,3552,0.125
1655051489.402675,3568,0.25
1655051489.599504,3584,0.125
1655051489.797198,3600,0.125
1655051489.996607,3616,0.375
1655051490.225048,3632,0.0
1655051490.415335,3648,0.0
1655051490.622869,3664,0.125
1655051490.79075,3680,0.5
1655051490.996398,3696,0.5
1655051491.21884,3712,0.375
1655051491.44026,3728,0.0
1655051491.650829,3744,0.25
1655051491.857048,3760,0.0
1655051492.074056,3776,0.125
1655051492.253319,3792,0.5
1655051492.487271,3808,0.125
1655051492.711812,3824,0.0
1655051492.891182,3840,0.0
1655051493.128899,3856,0.125
1655051493.326099,3872,0.25
1655051493.522168,3888,0.25
1655051493.737983,3904,0.25
1655051493.952208,3920,0.0
1655051494.181938,3936,0.375
1655051494.427364,3952,0.125
1655051494.65278,3968,0.25
1655051494.922703,3984,0.125
1655051495.221957,4000,0.125
1655051495.485664,4016,0.375
1655051495.702864,4032,0.125
1655051495.900563,4048,0.125
1655051496.101771,4064,0.0
1655051496.302847,4080,0.125
1655051496.523011,4096,0.375
1655051496.704534,4112,0.375
1655051496.90136,4128,0.25
1655051497.13929,4144,0.25
1655051497.478479,4160,0.25
1655051497.689463,4176,0.25
1655051497.880204,4192,0.125
1655051498.11704,4208,0.5
1655051498.361502,4224,0.125
1655051498.561479,4240,0.5
1655051498.78293,4256,0.125
1655051498.95868,4272,0.375
1655051499.181107,4288,0.125
1655051499.403776,4304,0.125
1655051499.640048,4320,0.125
1655051499.887889,4336,0.25
1655051500.132,4352,0.0
1655051500.339717,4368,0.125
1655051500.543149,4384,0.125
1655051500.78958,4400,0.25
1655051500.986782,4416,0.5
1655051501.185985,4432,0.25
1655051501.433494,4448,0.125
1655051501.618377,4464,0.5
1655051501.807648,4480,0.125
1655051502.044175,4496,0.125
1655051502.238395,4512,0.125
1655051502.700989,4528,0.125
1655051502.99421,4544,0.25
1655051503.258897,4560,0.25
1655051503.609019,4576,0.25
1655051503.988093,4592,0.125
1655051504.321314,4608,0.375
1655051504.609081,4624,0.625
1655051504.873735,4640,0.375
1655051505.081873,4656,0.25
1655051505.272169,4672,0.25
1655051505.514016,4688,0.25
1655051505.747311,4704,0.125
1655051505.975215,4720,0.375
1655051506.228289,4736,0.125
1655051506.46725,4752,0.25
1655051506.686697,4768,0.25
1655051506.906997,4784,0.375
1655051507.106457,4800,0.125
1655051507.348444,4816,0.125
1655051507.756837,4832,0.375
1655051507.962091,4848,0.625
1655051508.167164,4864,0.0
1655051508.389301,4880,0.125
1655051508.63132,4896,0.125
1655051508.881395,4912,0.125
1655051509.067887,4928,0.125
1655051509.285587,4944,0.375
1655051509.467592,4960,0.125
1655051509.657308,4976,0.375
1655051509.848939,4992,0.25
1655051510.103953,5008,0.25
1655051510.338289,5024,0.375
1655051510.54875,5040,0.375
1655051510.743752,5056,0.125
1655051510.937394,5072,0.25
1655051511.10865,5088,0.125
1655051511.333035,5104,0.125
1655051511.60064,5120,0.25
1655051511.845934,5136,0.125
1655051512.050781,5152,0.0
1655051512.245627,5168,0.125
1655051512.458718,5184,0.125
1655051512.653634,5200,0.125
1655051512.860738,5216,0.25
1655051513.039119,5232,0.125
1655051513.230792,5248,0.125
1655051513.439623,5264,0.125
1655051513.655684,5280,0.125
1655051513.89678,5296,0.375
1655051514.090379,5312,0.0
1655051514.307731,5328,0.0
1655051514.53388,5344,0.0
1655051514.725735,5360,0.0
1655051514.939322,5376,0.25
1655051515.111126,5392,0.0
1655051515.322784,5408,0.125
1655051515.586995,5424,0.375
1655051515.791805,5440,0.0
1655051515.980962,5456,0.125
1655051516.197517,5472,0.375
1655051516.384332,5488,0.25
1655051516.602599,5504,0.125
1655051516.833631,5520,0.625
1655051517.106686,5536,0.125
1655051517.316761,5552,0.125
1655051517.520567,5568,0.125
1655051517.770752,5584,0.125
1655051517.965556,5600,0.125
1655051518.14483,5616,0.125
1655051518.36491,5632,0.125
1655051518.594364,5648,0.0
1655051518.86811,5664,0.0
1655051519.038756,5680,0.25
1655051519.284565,5696,0.125
1655051519.465154,5712,0.25
1655051519.68657,5728,0.375
1655051519.890428,5744,0.125
1655051520.101774,5760,0.0
1655051520.352454,5776,0.0
1655051520.54852,5792,0.0
1655051520.837289,5808,0.25
1655051521.077051,5824,0.0
1655051521.273074,5840,0.375
1655051521.486162,5856,0.0
1655051521.718843,5872,0.125
1655051521.932131,5888,0.125
1655051522.188293,5904,0.125
1655051522.394542,5920,0.0
1655051522.638924,5936,0.25
1655051522.826549,5952,0.125
1655051523.057323,5968,0.25
1655051523.258346,5984,0.125
1655051523.513916,6000,0.25
1655051523.744878,6016,0.125
1655051523.943721,6032,0.125
1655051524.148203,6048,0.125
1655051524.325031,6064,0.25
1655051524.498485,6080,0.0
1655051524.768092,6096,0.125
1655051524.985972,6112,0.0
1655051525.174056,6128,0.125
1655051525.442888,6144,0.125
1655051525.667714,6160,0.375
1655051525.837078,6176,0.25
1655051526.03986,6192,0.0
1655051526.24479,6208,0.375
1655051526.438412,6224,0.25
1655051526.675005,6240,0.0
1655051526.913315,6256,0.25
1655051527.169573,6272,0.125
1655051527.366611,6288,0.0
1655051527.573316,6304,0.125
1655051527.806613,6320,0.25
1655051528.089906,6336,0.0
1655051528.326746,6352,0.125
1655051528.527917,6368,0.25
1655051528.759279,6384,0.25
1655051528.95682,6400,0.25
